Location,Code,GeographicLevel
GALICIA I,042114003,Bgy
PALOCPOC I,042114004,Bgy
PANUNGYAN I,042114005,Bgy
POBLACION I (BARANGAY I),042114007,Bgy
POBLACION II (BARANGAY II),042114008,Bgy
POBLACION III (BARANGAY III),042114009,Bgy
POBLACION IV (BARANGAY IV),042114010,Bgy
POBLACION V (BARANGAY V),042114011,Bgy
POBLACION VI (BARANGAY VI),042114012,Bgy
POBLACION VII (BARANGAY VII),042114013,Bgy
ANULING CERCA I,042114014,Bgy
ANULING CERCA II,042114015,Bgy
ANULING LEJOS II,042114016,Bgy
ASIS II,042114017,Bgy
ASIS III,042114018,Bgy
BANAYAD,042114019,Bgy
BUKAL,042114020,Bgy
GALICIA II,042114021,Bgy
GALICIA III,042114022,Bgy
MIGUEL MOJICA,042114023,Bgy
PALOCPOC II,042114024,Bgy
PANUNGYAN II,042114025,Bgy
NAIC,042115000,Mun
BAGONG KARSADA,042115001,Bgy
BALSAHAN,042115002,Bgy
BANCAAN,042115003,Bgy
BUCANA MALAKI,042115004,Bgy
BUCANA SASAHAN,042115005,Bgy
CAPT. C. NAZARENO (POB.),042115006,Bgy
CALUBCOB,042115007,Bgy
PALANGUE 2 & 3,042115008,Bgy
GOMEZ-ZAMORA (POB.),042115009,Bgy
HALANG,042115010,Bgy
HUMBAC,042115011,Bgy
IBAYO ESTACION,042115012,Bgy
IBAYO SILANGAN,042115013,Bgy
KANLURAN,042115014,Bgy
LABAC,042115015,Bgy
LATORIA,042115016,Bgy
MABOLO,042115018,Bgy
MAKINA,042115019,Bgy
MALAINEN BAGO,042115020,Bgy
MALAINEN LUMA,042115021,Bgy
MOLINO,042115022,Bgy
MUNTING MAPINO,042115023,Bgy
MUZON,042115024,Bgy
PALANGUE 1,042115025,Bgy
SABANG,042115026,Bgy
SAN ROQUE,042115028,Bgy
SANTULAN,042115029,Bgy
SAPA,042115030,Bgy
TIMALAN BALSAHAN,042115031,Bgy
TIMALAN CONCEPCION,042115032,Bgy
NOVELETA,042116000,Mun
MAGDIWANG,042116001,Bgy
POBLACION,042116002,Bgy
SALCEDO I,042116003,Bgy
SAN ANTONIO I,042116004,Bgy
SAN JUAN I,042116005,Bgy
SAN RAFAEL I,042116006,Bgy
SAN RAFAEL II,042116007,Bgy
SAN JOSE I,042116008,Bgy
SANTA ROSA I,042116009,Bgy
SALCEDO II,042116010,Bgy
SAN ANTONIO II,042116011,Bgy
SAN JOSE II,042116012,Bgy
SAN JUAN II,042116013,Bgy
SAN RAFAEL III,042116014,Bgy
SAN RAFAEL IV,042116015,Bgy
SANTA ROSA II,042116016,Bgy
ROSARIO,042117000,Mun
SILANGAN I,042117001,Bgy
BAGBAG I,042117002,Bgy
KANLURAN,042117003,Bgy
LIGTONG I,042117005,Bgy
LIGTONG II,042117006,Bgy
MUZON I,042117007,Bgy
POBLACION,042117008,Bgy
SAPA I,042117009,Bgy
TEJEROS CONVENTION,042117010,Bgy
WAWA I,042117011,Bgy
LIGTONG III,042117012,Bgy
BAGBAG II,042117013,Bgy
LIGTONG IV,042117014,Bgy
MUZON II,042117015,Bgy
SAPA II,042117016,Bgy
SAPA III,042117017,Bgy
SAPA IV,042117018,Bgy
SILANGAN II,042117019,Bgy
WAWA II,042117020,Bgy
WAWA III,042117021,Bgy
SILANG,042118000,Mun
ADLAS,042118001,Bgy
BALITE I,042118003,Bgy
BALITE II,042118004,Bgy
BALUBAD,042118005,Bgy
BATAS,042118006,Bgy
BIGA I,042118007,Bgy
BILUSO,042118008,Bgy
BUHO,042118009,Bgy
BUCAL,042118010,Bgy
BULIHAN,042118011,Bgy
CABANGAAN,042118012,Bgy
CARMEN,042118013,Bgy
HUKAY,042118014,Bgy
IBA,042118015,Bgy
INCHICAN,042118016,Bgy
KALUBKOB,042118017,Bgy
KAONG,042118018,Bgy
LALAAN I,042118019,Bgy
LALAAN II,042118020,Bgy
LITLIT,042118021,Bgy
LUCSUHIN,042118022,Bgy
LUMIL,042118023,Bgy
MAGUYAM,042118026,Bgy
MALABAG,042118027,Bgy
MATAAS NA BUROL,042118028,Bgy
MUNTING ILOG,042118029,Bgy
PALIGAWAN,042118030,Bgy
PASONG LANGKA,042118031,Bgy
BARANGAY I (POB.),042118032,Bgy
BARANGAY II (POB.),042118033,Bgy
BARANGAY III (POB.),042118034,Bgy
BARANGAY IV (POB.),042118035,Bgy
BARANGAY V (POB.),042118036,Bgy
POOC I,042118037,Bgy
PULONG BUNGA,042118038,Bgy
PULONG SAGING,042118039,Bgy
PUTING KAHOY,042118040,Bgy
SABUTAN,042118041,Bgy
SAN MIGUEL I,042118042,Bgy
SAN VICENTE I,042118043,Bgy
SANTOL,042118044,Bgy
TARTARIA,042118045,Bgy
TIBIG,042118046,Bgy
TUBUAN I,042118047,Bgy
ULAT,042118048,Bgy
ACACIA,042118049,Bgy
ANAHAW I,042118050,Bgy
IPIL I,042118051,Bgy
NARRA I,042118052,Bgy
YAKAL,042118053,Bgy
ANAHAW II,042118054,Bgy
BANABA,042118055,Bgy
BIGA II,042118056,Bgy
HOYO,042118057,Bgy
IPIL II,042118058,Bgy
MALAKING TATYAO,042118059,Bgy
NARRA II,042118060,Bgy
NARRA III,042118061,Bgy
POOC II,042118062,Bgy
SAN MIGUEL II,042118063,Bgy
SAN VICENTE II,042118064,Bgy
TOLEDO,042118065,Bgy
TUBUAN II,042118066,Bgy
TUBUAN III,042118067,Bgy
CITY OF TAGAYTAY,042119000,City
ASISAN,042119001,Bgy
BAGONG TUBIG,042119002,Bgy
DAPDAP WEST,042119003,Bgy
FRANCISCO (SAN FRANCISCO),042119004,Bgy
GUINHAWA SOUTH,042119005,Bgy
IRUHIN WEST,042119006,Bgy
CALABUSO (CALABUSO SOUTH & NORTH),042119007,Bgy
KAYBAGAL SOUTH (POB.),042119008,Bgy
MAG-ASAWANG ILAT,042119010,Bgy
MAHARLIKA WEST,042119011,Bgy
MAITIM 2ND EAST,042119012,Bgy
MENDEZ CROSSING WEST,042119013,Bgy
NEOGAN,042119014,Bgy
PATUTONG MALAKI SOUTH,042119015,Bgy
SAMBONG,042119017,Bgy
SAN JOSE,042119018,Bgy
SILANG JUNCTION SOUTH,042119019,Bgy
SUNGAY SOUTH,042119020,Bgy
TOLENTINO WEST,042119021,Bgy
ZAMBAL,042119022,Bgy
IRUHIN EAST,042119023,Bgy
KAYBAGAL NORTH,042119024,Bgy
MAITIM 2ND WEST,042119025,Bgy
DAPDAP EAST,042119027,Bgy
GUINHAWA NORTH,042119028,Bgy
IRUHIN SOUTH,042119029,Bgy
KAYBAGAL EAST,042119030,Bgy
MAHARLIKA EAST,042119031,Bgy
MAITIM 2ND CENTRAL,042119032,Bgy
MENDEZ CROSSING EAST,042119033,Bgy
PATUTONG MALAKI NORTH,042119034,Bgy
SILANG JUNCTION NORTH,042119035,Bgy
SUNGAY NORTH,042119036,Bgy
TOLENTINO EAST,042119037,Bgy
TANZA,042120000,Mun
AMAYA I,042120001,Bgy
BAGTAS,042120002,Bgy
BIGA,042120003,Bgy
BIWAS,042120004,Bgy
BUCAL,042120005,Bgy
BUNGA,042120006,Bgy
CALIBUYO,042120007,Bgy
CAPIPISA,042120008,Bgy
DAANG AMAYA I,042120009,Bgy
HALAYHAY,042120010,Bgy
JULUGAN I,042120011,Bgy
MULAWIN,042120012,Bgy
PARADAHAN I,042120015,Bgy
BARANGAY I (POB.),042120016,Bgy
BARANGAY II (POB.),042120017,Bgy
BARANGAY III (POB.),042120018,Bgy
BARANGAY IV (POB.),042120019,Bgy
PUNTA I,042120020,Bgy
SAHUD ULAN,042120021,Bgy
SANJA MAYOR,042120022,Bgy
SANTOL,042120023,Bgy
TANAUAN,042120024,Bgy
TRES CRUSES,042120026,Bgy
LAMBINGAN,042120027,Bgy
AMAYA II,042120028,Bgy
AMAYA III,042120029,Bgy
AMAYA IV,042120030,Bgy
AMAYA V,042120031,Bgy
AMAYA VI,042120032,Bgy
AMAYA VII,042120033,Bgy
DAANG AMAYA II,042120034,Bgy
DAANG AMAYA III,042120035,Bgy
JULUGAN II,042120036,Bgy
JULUGAN III,042120037,Bgy
JULUGAN IV,042120038,Bgy
JULUGAN V,042120039,Bgy
JULUGAN VI,042120040,Bgy
JULUGAN VII,042120041,Bgy
JULUGAN VIII,042120042,Bgy
PARADAHAN II,042120043,Bgy
PUNTA II,042120044,Bgy
TERNATE,042121000,Mun
POBLACION I (BARANGAY I),042121001,Bgy
POBLACION II (BARANGAY II),042121002,Bgy
BUCANA,042121003,Bgy
POBLACION III (BARANGAY III),042121005,Bgy
SAN JOSE,042121006,Bgy
SAN JUAN I,042121007,Bgy
SAPANG I,042121008,Bgy
POBLACION I A,042121009,Bgy
SAN JUAN II,042121010,Bgy
SAPANG II,042121011,Bgy
CITY OF TRECE MARTIRES (CAPITAL),042122000,City
CABEZAS,042122002,Bgy
CABUCO,042122003,Bgy
DE OCAMPO,042122004,Bgy
LALLANA,042122005,Bgy
SAN AGUSTIN (POB.),042122006,Bgy
OSORIO,042122008,Bgy
CONCHU (LAGUNDIAN),042122009,Bgy
PEREZ (LUCBANAN),042122010,Bgy
AGUADO (PISCAL MUNDO),042122011,Bgy
GREGORIO (ALIANG),042122012,Bgy
INOCENCIO (B. POOK),042122013,Bgy
LAPIDARIO (BAYOG),042122014,Bgy
LUCIANO (BITANGAN),042122015,Bgy
GEN. MARIANO ALVAREZ,042123000,Mun
ALDIANO OLAES,042123001,Bgy
BARANGAY 1 POBLACION (AREA I),042123002,Bgy
BARANGAY 2 POBLACION,042123003,Bgy
BARANGAY 3 POBLACION,042123004,Bgy
BARANGAY 4 POBLACION,042123005,Bgy
BARANGAY 5 POBLACION,042123006,Bgy
BENJAMIN TIRONA (AREA D),042123007,Bgy
BERNARDO PULIDO (AREA H),042123008,Bgy
EPIFANIO MALIA,042123009,Bgy
FRANCISCO DE CASTRO (SUNSHINE VILL.),042123010,Bgy
FRANCISCO REYES,042123011,Bgy
FIORELLO CALIMAG (AREA C),042123012,Bgy
GAVINO MADERAN,042123013,Bgy
GREGORIA DE JESUS,042123014,Bgy
INOCENCIO SALUD,042123015,Bgy
JACINTO LUMBRERAS,042123016,Bgy
KAPITAN KUA (AREA F),042123017,Bgy
KORONEL JOSE P. ELISES (AREA E),042123018,Bgy
MACARIO DACON,042123019,Bgy
MARCELINO MEMIJE,042123020,Bgy
NICOLASA VIRATA (SAN JOSE),042123021,Bgy
PANTALEON GRANADOS (AREA G),042123022,Bgy
RAMON CRUZ (AREA J),042123023,Bgy
SAN GABRIEL (AREA K),042123024,Bgy
SAN JOSE,042123025,Bgy
SEVERINO DE LAS ALAS,042123026,Bgy
TINIENTE TIAGO,042123027,Bgy
LAGUNA,043400000,Prov
ALAMINOS,043401000,Mun
DEL CARMEN,043401001,Bgy
PALMA,043401002,Bgy
BARANGAY I (POB.),043401003,Bgy
BARANGAY II (POB.),043401004,Bgy
BARANGAY III (POB.),043401005,Bgy
BARANGAY IV (POB.),043401006,Bgy
SAN AGUSTIN,043401007,Bgy
SAN ANDRES,043401008,Bgy
SAN BENITO,043401009,Bgy
SAN GREGORIO,043401010,Bgy
SAN ILDEFONSO,043401011,Bgy
SAN JUAN,043401012,Bgy
SAN MIGUEL,043401013,Bgy
SAN ROQUE,043401014,Bgy
SANTA ROSA,043401015,Bgy
BAY,043402000,Mun
BITIN,043402001,Bgy
CALO,043402002,Bgy
DILA,043402003,Bgy
MAITIM,043402004,Bgy
MASAYA,043402005,Bgy
PACIANO RIZAL,043402006,Bgy
PUYPUY,043402009,Bgy
SAN ANTONIO,043402010,Bgy
SAN ISIDRO,043402011,Bgy
SANTA CRUZ,043402012,Bgy
SANTO DOMINGO,043402013,Bgy
TAGUMPAY,043402014,Bgy
TRANCA,043402015,Bgy
SAN AGUSTIN (POB.),043402016,Bgy
SAN NICOLAS (POB.),043402017,Bgy
CITY OF BIÑAN,043403000,City
BIÑAN (POBLACION),043403001,Bgy
BUNGAHAN,043403002,Bgy
SANTO TOMAS (CALABUSO),043403003,Bgy
CANLALAY,043403004,Bgy
CASILE,043403005,Bgy
DE LA PAZ,043403006,Bgy
GANADO,043403007,Bgy
SAN FRANCISCO (HALANG),043403008,Bgy
LANGKIWA,043403009,Bgy
LOMA,043403011,Bgy
MALABAN,043403012,Bgy
MALAMIG,043403013,Bgy
MAMPALASAN,043403014,Bgy
PLATERO,043403015,Bgy
POBLACION,043403016,Bgy
SANTO NIÑO,043403018,Bgy
SAN ANTONIO,043403019,Bgy
SAN JOSE,043403020,Bgy
SAN VICENTE,043403021,Bgy
SORO-SORO,043403022,Bgy
SANTO DOMINGO,043403023,Bgy
TIMBAO,043403024,Bgy
TUBIGAN,043403025,Bgy
ZAPOTE,043403026,Bgy
CITY OF CABUYAO,043404000,City
BACLARAN,043404001,Bgy
BANAYBANAY,043404002,Bgy
BANLIC,043404003,Bgy
BUTONG,043404004,Bgy
BIGAA,043404005,Bgy
CASILE,043404006,Bgy
GULOD,043404007,Bgy
MAMATID,043404009,Bgy
MARINIG,043404010,Bgy
NIUGAN,043404011,Bgy
PITTLAND,043404012,Bgy
PULO,043404013,Bgy
SALA,043404014,Bgy
SAN ISIDRO,043404015,Bgy
DIEZMO,043404016,Bgy
BARANGAY UNO (POB.),043404017,Bgy
BARANGAY DOS (POB.),043404018,Bgy
BARANGAY TRES (POB.),043404019,Bgy
CITY OF CALAMBA,043405000,City
BAGONG KALSADA,043405001,Bgy
BANADERO,043405002,Bgy
BANLIC,043405003,Bgy
BARANDAL,043405004,Bgy
BUBUYAN,043405005,Bgy
BUCAL,043405006,Bgy
BUNGGO,043405007,Bgy
BUROL,043405009,Bgy
CAMALIGAN,043405010,Bgy
CANLUBANG,043405011,Bgy
HALANG,043405013,Bgy
HORNALAN,043405014,Bgy
KAY-ANLOG,043405016,Bgy
LAGUERTA,043405017,Bgy
LA MESA,043405018,Bgy
LAWA,043405019,Bgy
LECHERIA,043405020,Bgy
LINGGA,043405021,Bgy
LOOC,043405023,Bgy
MABATO,043405024,Bgy
MAKILING,043405026,Bgy
MAPAGONG,043405028,Bgy
MASILI,043405029,Bgy
MAUNONG,043405031,Bgy
MAYAPA,043405032,Bgy
PACIANO RIZAL,043405033,Bgy
PALINGON,043405034,Bgy
PALO-ALTO,043405035,Bgy
PANSOL,043405036,Bgy
PARIAN,043405037,Bgy
BARANGAY 1 (POB.),043405038,Bgy
BARANGAY 2 (POB.),043405039,Bgy
BARANGAY 3 (POB.),043405040,Bgy
BARANGAY 4 (POB.),043405041,Bgy
BARANGAY 5 (POB.),043405042,Bgy
BARANGAY 6 (POB.),043405043,Bgy
BARANGAY 7 (POB.),043405044,Bgy
PRINZA,043405045,Bgy
PUNTA,043405046,Bgy
PUTING LUPA,043405047,Bgy
REAL,043405049,Bgy
SUCOL,043405050,Bgy
SAIMSIM,043405051,Bgy
SAMPIRUHAN,043405052,Bgy
SAN CRISTOBAL,043405053,Bgy
SAN JOSE,043405054,Bgy
SAN JUAN,043405055,Bgy
SIRANG LUPA,043405056,Bgy
MILAGROSA (TULO),043405057,Bgy
TURBINA,043405058,Bgy
ULANGO,043405059,Bgy
UWISAN,043405060,Bgy
BATINO,043405061,Bgy
MAJADA LABAS,043405062,Bgy
CALAUAN,043406000,Mun
BALAYHANGIN,043406001,Bgy
BANGYAS,043406002,Bgy
DAYAP,043406003,Bgy
HANGGAN,043406004,Bgy
IMOK,043406005,Bgy
LAMOT 1,043406006,Bgy
LAMOT 2,043406007,Bgy
LIMAO,043406008,Bgy
MABACAN,043406009,Bgy
MASIIT,043406010,Bgy
PALIPARAN,043406011,Bgy
PEREZ,043406012,Bgy
KANLURAN (POB.),043406013,Bgy
SILANGAN (POB.),043406014,Bgy
PRINZA,043406015,Bgy
SAN ISIDRO,043406016,Bgy
SANTO TOMAS,043406017,Bgy
CAVINTI,043407000,Mun
ANGLAS,043407001,Bgy
BANGCO,043407002,Bgy
BUKAL,043407003,Bgy
BULAJO,043407004,Bgy
CANSUSO,043407005,Bgy
DUHAT,043407006,Bgy
INAO-AWAN,043407007,Bgy
KANLURAN TALAONGAN,043407008,Bgy
LABAYO,043407009,Bgy
LAYASIN,043407010,Bgy
LAYUG,043407011,Bgy
MAHIPON,043407012,Bgy
PAOWIN,043407014,Bgy
POBLACION,043407015,Bgy
SISILMIN,043407016,Bgy
SILANGAN TALAONGAN,043407017,Bgy
SUMUCAB,043407018,Bgy
TIBATIB,043407019,Bgy
UDIA,043407020,Bgy
FAMY,043408000,Mun
ASANA (POB.),043408001,Bgy
BACONG-SIGSIGAN,043408002,Bgy
BAGONG PAG-ASA (POB.),043408003,Bgy
BALITOC,043408004,Bgy
BANABA (POB.),043408005,Bgy
BATUHAN,043408006,Bgy
BULIHAN,043408007,Bgy
CABALLERO (POB.),043408008,Bgy
CALUMPANG (POB.),043408009,Bgy
KAPATALAN,043408010,Bgy
CUEBANG BATO,043408011,Bgy
DAMAYAN (POB.),043408012,Bgy
KATAYPUANAN,043408013,Bgy
LIYANG,043408014,Bgy
MAATE,043408015,Bgy
MAGDALO (POB.),043408016,Bgy
MAYATBA,043408017,Bgy
MINAYUTAN,043408018,Bgy
SALANGBATO,043408019,Bgy
TUNHAC,043408020,Bgy
KALAYAAN,043409000,Mun
LONGOS,043409001,Bgy
SAN ANTONIO,043409002,Bgy
SAN JUAN (POB.),043409003,Bgy
LILIW,043410000,Mun
BAGONG ANYO (POB.),043410002,Bgy
BAYATE,043410003,Bgy
BUBUKAL,043410004,Bgy
BONGKOL,043410005,Bgy
CABUYAO,043410007,Bgy
CALUMPANG,043410008,Bgy
CULOY,043410009,Bgy
DAGATAN,043410010,Bgy
DANIW (DANLIW),043410011,Bgy
DITA,043410012,Bgy
IBABANG PALINA,043410013,Bgy
IBABANG SAN ROQUE,043410014,Bgy
IBABANG SUNGI,043410015,Bgy
IBABANG TAYKIN,043410016,Bgy
ILAYANG PALINA,043410018,Bgy
ILAYANG SAN ROQUE,043410019,Bgy
ILAYANG SUNGI,043410020,Bgy
ILAYANG TAYKIN,043410021,Bgy
KANLURANG BUKAL,043410022,Bgy
LAGUAN,043410023,Bgy
RIZAL (POB.),043410024,Bgy
LUQUIN,043410025,Bgy
MALABO-KALANTUKAN,043410026,Bgy
MASIKAP (POB.),043410027,Bgy
MASLUN (POB.),043410028,Bgy
MOJON,043410029,Bgy
NOVALICHES,043410030,Bgy
OPLES,043410031,Bgy
PAG-ASA (POB.),043410032,Bgy
PALAYAN,043410033,Bgy
SAN ISIDRO,043410034,Bgy
SILANGANG BUKAL,043410035,Bgy
TUY-BAANAN,043410037,Bgy
LOS BAÑOS,043411000,Mun
ANOS,043411001,Bgy
BAGONG SILANG,043411002,Bgy
BAMBANG,043411003,Bgy
BATONG MALAKE,043411004,Bgy
BAYBAYIN (POB.),043411005,Bgy
BAYOG,043411006,Bgy
LALAKAY,043411007,Bgy
MAAHAS,043411008,Bgy
MAYONDON,043411010,Bgy
PUTHO TUNTUNGIN,043411011,Bgy
SAN ANTONIO,043411012,Bgy
TADLAK,043411013,Bgy
TIMUGAN (POB.),043411014,Bgy
MALINTA,043411015,Bgy
LUISIANA,043412000,Mun
DE LA PAZ,043412001,Bgy
BARANGAY ZONE I (POB.),043412002,Bgy
BARANGAY ZONE II (POB.),043412003,Bgy
BARANGAY ZONE III (POB.),043412004,Bgy
BARANGAY ZONE IV (POB.),043412005,Bgy
BARANGAY ZONE V (POB.),043412006,Bgy
BARANGAY ZONE VI (POB.),043412007,Bgy
BARANGAY ZONE VII (POB.),043412008,Bgy
BARANGAY ZONE VIII (POB.),043412009,Bgy
SAN ANTONIO,043412010,Bgy
SAN BUENAVENTURA,043412011,Bgy
SAN DIEGO,043412012,Bgy
SAN ISIDRO,043412013,Bgy
SAN JOSE,043412014,Bgy
SAN JUAN,043412015,Bgy
SAN LUIS,043412016,Bgy
SAN PABLO,043412017,Bgy
SAN PEDRO,043412018,Bgy
SAN RAFAEL,043412019,Bgy
SAN ROQUE,043412020,Bgy
SAN SALVADOR,043412021,Bgy
SANTO DOMINGO,043412022,Bgy
SANTO TOMAS,043412023,Bgy
LUMBAN,043413000,Mun
BAGONG SILANG,043413001,Bgy
BALIMBINGAN (POB.),043413002,Bgy
BALUBAD,043413003,Bgy
CALIRAYA,043413004,Bgy
CONCEPCION,043413005,Bgy
LEWIN,043413006,Bgy
MARACTA (POB.),043413007,Bgy
MAYTALANG I,043413008,Bgy
MAYTALANG II,043413009,Bgy
PRIMERA PARANG (POB.),043413010,Bgy
PRIMERA PULO (POB.),043413011,Bgy
SALAC (POB.),043413012,Bgy
SEGUNDA PARANG (POB.),043413013,Bgy
SEGUNDA PULO (POB.),043413014,Bgy
SANTO NIÑO (POB.),043413015,Bgy
WAWA,043413016,Bgy
MABITAC,043414000,Mun
AMUYONG,043414001,Bgy
LAMBAC (POB.),043414002,Bgy
LUCONG,043414003,Bgy
MATALATALA,043414004,Bgy
NANGUMA,043414005,Bgy
NUMERO,043414006,Bgy
PAAGAHAN,043414007,Bgy
BAYANIHAN (POB.),043414008,Bgy
LIBIS NG NAYON (POB.),043414009,Bgy
MALIGAYA (POB.),043414010,Bgy
MASIKAP (POB.),043414011,Bgy
PAG-ASA (POB.),043414012,Bgy
SINAGTALA (POB.),043414013,Bgy
SAN ANTONIO,043414014,Bgy
SAN MIGUEL,043414015,Bgy
MAGDALENA,043415000,Mun
ALIPIT,043415001,Bgy
MALAKING AMBLING,043415002,Bgy
MUNTING AMBLING,043415003,Bgy
BAANAN,043415004,Bgy
BALANAC,043415005,Bgy
BUCAL,043415006,Bgy
BUENAVISTA,043415007,Bgy
BUNGKOL,043415008,Bgy
BUO,043415009,Bgy
BURLUNGAN,043415010,Bgy
CIGARAS,043415011,Bgy
IBABANG ATINGAY,043415012,Bgy
IBABANG BUTNONG,043415013,Bgy
ILAYANG ATINGAY,043415014,Bgy
ILAYANG BUTNONG,043415015,Bgy
ILOG,043415016,Bgy
MALINAO,043415017,Bgy
MARAVILLA,043415018,Bgy
POBLACION,043415019,Bgy
SABANG,043415020,Bgy
SALASAD,043415021,Bgy
TANAWAN,043415022,Bgy
TIPUNAN,043415023,Bgy
HALAYHAYIN,043415024,Bgy
MAJAYJAY,043416000,Mun
AMONOY,043416001,Bgy
BAKIA,043416002,Bgy
BUKAL,043416003,Bgy
BALANAC,043416004,Bgy
BALAYONG,043416005,Bgy
BANILAD,043416007,Bgy
BANTI,043416008,Bgy
BITAOY,043416010,Bgy
BOTOCAN,043416011,Bgy
BURGOS,043416012,Bgy
BUROL,043416013,Bgy
CORALAO,043416014,Bgy
GAGALOT,043416015,Bgy
IBABANG BANGA,043416016,Bgy
IBABANG BAYUCAIN,043416017,Bgy
ILAYANG BANGA,043416018,Bgy
ILAYANG BAYUCAIN,043416019,Bgy
ISABANG,043416020,Bgy
MALINAO,043416021,Bgy
MAY-IT,043416022,Bgy
MUNTING KAWAYAN,043416023,Bgy
OOBI,043416024,Bgy
OLLA,043416025,Bgy
ORIGUEL (POB.),043416026,Bgy
PANALABAN,043416027,Bgy
PANGLAN,043416028,Bgy
PANGIL,043416029,Bgy
PIIT,043416030,Bgy
POOK,043416031,Bgy
RIZAL,043416032,Bgy
SAN FRANCISCO (POB.),043416033,Bgy
SAN ISIDRO,043416034,Bgy
SAN MIGUEL (POB.),043416035,Bgy
SAN ROQUE,043416036,Bgy
SANTA CATALINA (POB.),043416037,Bgy
SUBA,043416038,Bgy
TANAWAN,043416039,Bgy
TAYTAY,043416040,Bgy
TALORTOR,043416041,Bgy
VILLA NOGALES,043416042,Bgy
NAGCARLAN,043417000,Mun
ABO,043417001,Bgy
ALIBUNGBUNGAN,043417002,Bgy
ALUMBRADO,043417003,Bgy
BALAYONG,043417004,Bgy
BALIMBING,043417005,Bgy
BALINACON,043417006,Bgy
BAMBANG,043417007,Bgy
BANAGO,043417008,Bgy
BANCA-BANCA,043417009,Bgy
BANGCURO,043417010,Bgy
BANILAD,043417011,Bgy
BAYAQUITOS,043417012,Bgy
BUBOY,043417013,Bgy
BUENAVISTA,043417014,Bgy
BUHANGINAN,043417015,Bgy
BUKAL,043417016,Bgy
BUNGA,043417017,Bgy
CABUYEW,043417018,Bgy
CALUMPANG,043417019,Bgy
KANLURAN KABUBUHAYAN,043417020,Bgy
SILANGAN KABUBUHAYAN,043417021,Bgy
LABANGAN,043417022,Bgy
LAWAGUIN,043417023,Bgy
KANLURAN LAZAAN,043417024,Bgy
SILANGAN LAZAAN,043417025,Bgy
LAGULO,043417026,Bgy
MAIIT,043417027,Bgy
MALAYA,043417028,Bgy
MALINAO,043417029,Bgy
MANAOL,043417030,Bgy
MARAVILLA,043417031,Bgy
NAGCALBANG,043417032,Bgy
POBLACION I (POB.),043417033,Bgy
POBLACION II (POB.),043417034,Bgy
POBLACION III (POB.),043417035,Bgy
OPLES,043417036,Bgy
PALAYAN,043417037,Bgy
PALINA,043417038,Bgy
SABANG,043417039,Bgy
SAN FRANCISCO,043417040,Bgy
SIBULAN,043417041,Bgy
SILANGAN NAPAPATID,043417042,Bgy
SILANGAN ILAYA,043417043,Bgy
SINIPIAN,043417044,Bgy
SANTA LUCIA,043417045,Bgy
SULSUGUIN,043417046,Bgy
TALAHIB,043417047,Bgy
TALANGAN,043417048,Bgy
TAYTAY,043417049,Bgy
TIPACAN,043417050,Bgy
WAKAT,043417052,Bgy
YUKOS,043417053,Bgy
PAETE,043418000,Mun
BAGUMBAYAN (POB.),043418001,Bgy
BANGKUSAY (POB.),043418002,Bgy
ERMITA (POB.),043418003,Bgy
IBABA DEL NORTE (POB.),043418004,Bgy
IBABA DEL SUR (POB.),043418005,Bgy
ILAYA DEL NORTE (POB.),043418006,Bgy
ILAYA DEL SUR (POB.),043418007,Bgy
MAYTOONG (POB.),043418008,Bgy
QUINALE (POB.),043418009,Bgy
PAGSANJAN,043419000,Mun
ANIBONG,043419001,Bgy
BIÑAN,043419002,Bgy
BUBOY,043419003,Bgy
CABANBANAN,043419004,Bgy
CALUSICHE,043419005,Bgy
DINGIN,043419006,Bgy
LAMBAC,043419007,Bgy
LAYUGAN,043419008,Bgy
MAGDAPIO,043419009,Bgy
MAULAWIN,043419010,Bgy
PINAGSANJAN,043419011,Bgy
BARANGAY I (POB.),043419012,Bgy
BARANGAY II (POB.),043419013,Bgy
SABANG,043419014,Bgy
SAMPALOC,043419015,Bgy
SAN ISIDRO,043419016,Bgy
PAKIL,043420000,Mun
BAÑO (POB.),043420001,Bgy
BANILAN,043420002,Bgy
BURGOS (POB.),043420003,Bgy
CASA REAL,043420004,Bgy
CASINSIN,043420005,Bgy
DORADO,043420006,Bgy
GONZALES (POB.),043420007,Bgy
KABULUSAN,043420008,Bgy
MATIKIW,043420009,Bgy
RIZAL (POB.),043420010,Bgy
SARAY,043420011,Bgy
TAFT (POB.),043420012,Bgy
TAVERA (POB.),043420013,Bgy
PANGIL,043421000,Mun
BALIAN,043421001,Bgy
DAMBO,043421002,Bgy
GALALAN,043421003,Bgy
ISLA (POB.),043421004,Bgy
MABATO-AZUFRE,043421005,Bgy
NATIVIDAD (POB.),043421006,Bgy
SAN JOSE (POB.),043421007,Bgy
SULIB,043421008,Bgy
PILA,043422000,Mun
APLAYA,043422001,Bgy
BAGONG POOK,043422002,Bgy
BUKAL,043422003,Bgy
BULILAN NORTE (POB.),043422004,Bgy
BULILAN SUR (POB.),043422005,Bgy
CONCEPCION,043422006,Bgy
LABUIN,043422007,Bgy
LINGA,043422008,Bgy
MASICO,043422009,Bgy
MOJON,043422010,Bgy
PANSOL,043422011,Bgy
PINAGBAYANAN,043422012,Bgy
SAN ANTONIO,043422014,Bgy
SAN MIGUEL,043422015,Bgy
SANTA CLARA NORTE (POB.),043422016,Bgy
